ds,escenario_neutro,escenario_positivo,escenario_negativo
2023-11-07,1.0677844129287668,1.1211736335752052,1.0143951922823284
2023-11-08,1.0672804878297322,1.1206445122212187,1.0139164634382456
2023-11-09,1.0665050165732486,1.1198302674019112,1.013179765744586
2023-11-10,1.0659046922610491,1.1191999268741015,1.0126094576479967
2023-11-13,1.0637891115396116,1.1169785671165924,1.010599655962631
2023-11-14,1.0630588517440016,1.1162117943312018,1.0099059091568015
2023-11-15,1.0627824768018406,1.1159216006419326,1.0096433529617486
2023-11-16,1.0622895712097635,1.1154040497702518,1.0091750926492753
2023-11-17,1.062022140386613,1.1151232474059438,1.0089210333672822
2023-11-20,1.0611479399743808,1.1142053369731,1.0080905429756617
2023-11-21,1.0608893426219157,1.1139338097530116,1.0078448754908198
2023-11-22,1.0611008990489972,1.114155944001447,1.0080458540965473
2023-11-24,1.0613333157840819,1.114399981573286,1.0082666499948778
2023-11-27,1.061873314404999,1.114966980125249,1.008779648684749
2023-11-28,1.062037255346076,1.1151391181133798,1.008935392578772
2023-11-29,1.062636510885064,1.1157683364293172,1.0095046853408107
2023-11-30,1.0629875663154174,1.1161369446311882,1.0098381879996465
2023-12-01,1.063520174537629,1.1166961832645106,1.0103441658107475
2023-12-04,1.0646772605996841,1.1179111236296684,1.0114433975697
2023-12-05,1.0649447086942578,1.1181919441289707,1.011697473259545
2023-12-06,1.0655967047777657,1.118876540016654,1.0123168695388773
2023-12-07,1.065951383237128,1.1192489523989844,1.0126538140752714
2023-12-08,1.0664410400404445,1.1197630920424668,1.0131189880384222
2023-12-11,1.0672269372549734,1.1205882841177222,1.0138655903922247
2023-12-12,1.0673054346719315,1.1206707064055281,1.0139401629383349
2023-12-13,1.0677448377805647,1.121132079669593,1.0143575958915365
2023-12-14,1.0678691139855276,1.121262569684804,1.0144756582862513
2023-12-15,1.0681165133006634,1.1215223389656965,1.0147106876356302
2023-12-18,1.0681632108248735,1.1215713713661173,1.0147550502836298
2023-12-19,1.068009626785557,1.1214101081248349,1.0146091454462791
2023-12-20,1.0682324128949727,1.1216440335397213,1.0148207922502241
2023-12-21,1.068159774841838,1.12156776358393,1.0147517860997461
2023-12-22,1.0682336040160565,1.1216452842168594,1.0148219238152536
2023-12-26,1.067715420654373,1.1211011916870919,1.0143296496216543
2023-12-27,1.0679124386273497,1.1213080605587173,1.0145168166959821
2023-12-28,1.0678449808343091,1.1212372298760247,1.0144527317925935
2023-12-29,1.0679538805095625,1.1213515745350406,1.0145561864840844
2024-01-02,1.0678353063933017,1.1212270717129669,1.0144435410736365
2024-01-03,1.0681835363920174,1.1215927132116184,1.0147743595724164
2024-01-04,1.0682813857524798,1.1216954550401037,1.0148673164648558
2024-01-05,1.0685661870423286,1.121994496394445,1.0151378776902122
2024-01-08,1.0690807432929552,1.1225347804576031,1.0156267061283073
2024-01-09,1.0691872967782698,1.1226466616171833,1.0157279319393564
2024-01-10,1.0697129644876626,1.123198612712046,1.0162273162632793
2024-01-11,1.0699793514954257,1.123478319070197,1.0164803839206544
2024-01-12,1.0704213022042735,1.1239423673144873,1.0169002370940596
2024-01-16,1.0715184984493589,1.125094423371827,1.0179425735268908
2024-01-17,1.0721182712583726,1.1257241848212913,1.0185123576954538
2024-01-18,1.0724391980265415,1.1260611579278688,1.0188172381252143
